uid,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24
2k42,train,val,val,val,train,train,train,val,train,train,train,train,train,train,train,val,val,train,train,train,val,val,val,train,val
2k5b,train,train,train,val,val,train,train,train,train,train,val,val,train,val,train,val,train,train,train,train,train,train,train,train,train
2k6d,train,train,train,train,train,train,train,train,train,val,val,train,train,val,train,train,val,train,train,train,val,val,train,val,train
2k8f,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train
2ka4,train,train,train,train,train,train,val,train,train,train,train,val,val,val,train,val,train,train,val,train,val,train,val,train,val
2ka6,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,val,train,val,train
2kbw,train,train,val,val,train,train,val,train,val,train,val,train,train,train,train,train,val,train,train,train,val,train,val,train,train
2kc8,val,train,val,train,train,train,val,val,train,train,val,train,train,val,val,train,val,val,val,train,train,train,train,val,train
2kgx,train,train,train,val,train,train,val,train,train,val,train,val,train,train,train,train,val,train,val,train,train,val,train,val,train
2khs,train,val,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train,val,val,train
2ki4,train,train,train,train,train,train,train,val,train,val,train,val,train,val,train,train,val,train,val,train,train,train,val,train,train
2kj4,train,train,val,train,val,train,val,train,train,train,val,train,val,train,train,train,train,train,train,val,val,val,train,train,train
2knb,train,train,train,train,train,train,train,train,train,val,val,train,train,val,train,train,val,train,train,train,val,val,train,val,train
2kqs,train,val,train,train,train,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,val,val,train
2kri,train,train,train,train,val,val,train,train,train,train,val,val,train,train,train,train,val,train,val,train,train,train,train,val,train
2kso,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2kt5,train,val,val,train,val,val,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val
2kvq,train,val,train,train,train,train,train,train,train,train,train,train,val,val,train,train,val,train,train,train,val,train,train,train,train
2kwi,train,val,val,train,train,train,train,train,train,train,train,train,train,train,val,val,train,val,train,train,train,val,train,train,train
2kwj,train,train,val,train,train,train,val,train,val,train,val,val,val,train,train,train,train,train,train,val,train,train,train,train,train
2kwk,train,train,val,train,train,train,val,train,val,train,val,val,val,train,train,train,train,train,train,val,train,train,train,train,train
2kwo,val,train,train,val,train,train,train,val,val,train,val,train,train,val,train,train,train,val,train,train,train,train,train,val,train
2kwu,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
2kwv,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
2kxh,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train
2kxw,train,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train,train,train,val
2l0f,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
2l0t,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,val,train,val,train,val,train,train,val,train,train
2l14,train,train,train,val,val,train,train,train,val,train,train,train,val,train,train,val,train,train,train,val,train,train,train,val,val
2l1l,val,val,val,train,train,train,val,train,train,train,val,val,train,val,val,train,train,train,train,train,train,train,train,train,train
2l29,train,train,train,val,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train
2l2l,val,train,train,train,val,train,val,train,train,train,val,train,val,train,train,train,val,val,val,train,train,train,train,train,train
2l9s,val,train,train,train,train,train,train,val,train,val,val,train,train,val,train,train,val,train,train,train,train,val,train,train,train
2ld7,train,train,train,train,train,train,val,val,train,val,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train
2leh,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train,train
2lfw,train,val,val,train,val,val,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train
2lkm,train,train,train,train,train,train,val,train,val,val,train,train,val,train,val,val,train,train,train,train,train,train,val,train,train
2lox,val,val,train,train,train,val,train,train,train,val,val,val,val,train,val,train,val,train,train,train,val,train,val,train,train
2lp0,train,val,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train
2lpb,train,train,val,val,train,val,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,val
2lqc,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val,train,val,val,train,train
2lqh,val,val,train,val,train,val,train,val,train,val,val,train,val,train,train,train,train,val,train,train,train,train,train,train,train
2luh,train,train,train,train,train,train,train,val,train,train,train,val,val,train,val,val,train,train,train,train,train,train,train,train,train
2lvo,val,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train
2lww,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,val,val,train,train
2lxm,val,train,val,val,train,train,train,train,train,train,train,train,train,val,train,val,train,val,train,train,train,train,val,train,val
2ly4,val,train,train,train,train,train,val,val,val,train,train,train,train,train,train,train,val,val,train,train,train,train,val,train,train
2lz6,train,train,train,train,train,train,train,train,train,val,val,train,train,val,train,train,val,train,train,train,val,val,train,val,train
2m04,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train
2m0g,train,val,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train
2m0j,val,train,train,train,train,train,val,val,train,val,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train
2m49,train,train,train,train,train,train,train,val,train,val,train,val,train,val,train,train,val,train,val,train,train,train,val,train,train
2m86,val,train,train,train,train,train,val,val,train,val,train,val,val,train,train,train,val,train,train,train,train,train,train,val,train
2mej,train,train,train,val,val,train,val,val,train,train,val,train,train,val,val,train,val,train,train,train,val,train,train,train,train
2mfq,train,train,train,train,val,val,train,val,train,train,train,train,train,val,val,val,train,train,train,train,val,train,train,val,train
2mj5,val,train,train,train,train,train,train,train,train,train,train,val,train,val,train,train,val,train,val,train,train,train,val,val,train
2mlx,train,train,val,train,val,train,val,train,train,train,train,train,train,train,val,val,train,val,train,train,train,train,train,train,train
2mnu,val,val,train,train,train,train,train,val,val,train,val,val,train,train,train,train,train,val,train,train,train,train,train,val,train
2mre,train,val,train,train,train,train,train,val,train,val,val,val,train,val,train,train,train,val,train,train,val,val,train,train,train
2mro,train,train,train,train,train,train,train,val,val,val,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train
2mur,train,train,train,val,val,train,train,train,train,val,train,train,val,train,val,train,val,train,val,train,train,val,train,train,train
2mv7,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train
2mws,train,train,train,val,train,train,val,train,val,train,train,train,val,train,train,val,val,val,train,train,train,val,train,val,train
2n1d,train,train,train,val,train,train,val,train,train,train,train,val,val,val,train,val,train,val,train,val,train,train,val,train,val
2n2h,val,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train,val,train,train
2n73,train,val,train,val,train,train,train,train,train,train,val,train,train,val,train,val,val,train,train,train,train,train,train,train,train
2n8j,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,val,val,val,train
2nbv,train,val,val,train,val,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train
2noj,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train
2nqd,train,train,val,train,train,train,train,train,train,val,val,val,train,train,train,train,train,train,train,train,val,train,val,train,train
2nyy,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2nz9,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2o39,train,train,val,train,val,train,val,train,val,train,train,train,train,val,train,val,train,train,train,val,train,val,val,val,train
2omt,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train
2omu,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train
2omv,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train
2omw,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train
2omx,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train
2omy,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train
2omz,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train
2ot8,val,val,train,val,train,train,train,train,val,val,train,train,train,train,val,val,train,val,train,train,train,train,val,val,train
2oza,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2p1l,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,val,val,train
2p42,train,train,val,train,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,val,train
2p44,train,train,val,train,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,val,train
2p46,train,train,val,train,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,val,train
2p49,train,train,val,train,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,val,train
2p4a,train,train,val,train,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,val,train
2p8q,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,val,train,train,train,train,train,train,val
2pcb,train,val,train,train,train,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train
2pkg,train,train,val,train,train,train,train,train,train,val,train,train,val,val,train,train,train,val,train,train,val,train,train,train,train
2pms,val,train,train,train,train,val,val,train,train,val,train,train,train,val,val,val,val,train,val,train,train,train,train,train,val
2pon,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,val,val,train
2pop,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train
2psm,train,val,train,train,train,train,train,val,train,train,train,val,val,train,train,train,val,val,train,train,train,val,train,train,train
2ptt,train,train,train,train,train,train,train,val,train,val,train,val,train,train,train,val,train,train,val,train,val,train,val,val,train
2px9,train,train,val,val,train,train,train,val,val,train,train,train,train,train,val,val,val,train,train,train,train,train,train,train,train
2q5d,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,val,train,train,train,train,train,train,val
2q7n,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,val,train,train,val,val,train
2qho,train,val,val,train,train,train,val,train,train,train,val,val,train,val,train,train,val,train,val,val,train,train,train,train,train
2qna,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,val,train,train,train,train,train,train,val
2qr0,val,train,train,val,train,train,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,train,val
2qxv,train,train,val,val,train,val,val,val,val,train,train,train,train,train,val,train,train,val,train,train,train,val,train,val,val
2r0l,train,train,train,train,train,train,train,train,train,val,val,train,train,val,train,train,val,train,train,train,val,val,train,val,train
2rex,val,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train
2rf9,val,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train
2rmk,train,train,train,val,val,train,train,train,train,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train
2rms,val,train,val,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val,val,train,train,train
2rnr,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,val,train,train,train,train,val,train,val,train,train
2roz,train,train,val,train,train,train,val,train,val,val,train,train,train,train,val,train,train,train,val,train,train,val,val,train,train
2rr3,train,train,val,train,val,train,val,train,val,train,train,train,train,train,val,train,train,train,val,train,train,val,val,train,train
2ru4,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2ruk,train,train,train,val,val,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train
2rvb,val,train,val,train,val,train,train,train,train,val,val,train,train,val,train,train,val,train,train,train,train,train,train,train,train
2uyz,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2v4z,train,train,train,train,train,val,train,train,val,val,val,train,val,val,train,val,train,train,train,val,train,val,train,train,train
2v5q,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2v8s,train,val,val,val,val,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,val
2v9t,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2vay,train,train,train,val,train,train,val,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train,val,train,train
2vda,train,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,train,train,val,train,train,val
2vn5,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train
2vog,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train
2voh,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train
2voi,train,train,val,val,train,train,val,train,val,train,val,train,train,train,train,train,val,train,train,train,val,train,val,train,train
2vsm,val,train,train,val,val,val,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,val,train
2vxq,train,train,train,train,val,val,val,train,train,train,train,train,train,train,val,val,train,train,train,train,val,train,val,val,val
2vxs,train,train,train,val,val,train,train,train,train,train,train,val,train,val,train,train,val,train,train,train,val,val,train,train,train
2vyr,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2w2x,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,val,train,train,train,train,train,val,val,train,train
2w80,train,train,train,train,train,train,train,train,train,val,val,val,val,val,train,train,train,val,train,train,train,val,train,val,val
2w84,train,train,train,train,train,train,val,train,val,train,train,val,val,train,train,train,train,train,train,train,val,val,val,val,train
2w8b,train,train,train,train,val,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,val,train,val,val
2wd5,val,train,train,train,val,train,train,train,val,val,train,train,val,val,train,train,val,train,val,train,train,train,train,train,train
2wel,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2wfx,val,train,val,val,val,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,val,val,train
2wg3,val,train,val,val,val,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,val,val,train
2wg4,val,train,val,val,val,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,val,val,train
2wh6,train,train,train,train,train,train,val,train,val,val,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train
2wjv,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train
2wo2,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,train,val,val,train,train,train,train,train,val
2wo3,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,train,val,val,train,train,train,train,train,val
2wp3,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2wus,train,val,val,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,val,train,train
2wwk,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2wwx,train,train,train,train,train,train,val,train,val,train,val,val,train,train,val,train,train,val,val,train,train,val,val,train,train
2wy3,train,train,train,train,train,val,train,train,train,train,train,train,train,val,val,train,val,train,val,train,val,val,train,train,val
2wy8,train,train,val,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val,train,val,val
2x1x,train,train,train,train,val,train,val,train,val,train,val,train,train,train,train,val,train,train,train,train,val,train,train,train,val
2x2d,val,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,val,train,val,train,train,train,train,train
2xa0,train,train,val,val,train,train,train,val,train,train,train,train,val,train,val,train,train,val,train,train,train,train,val,train,train
2xbb,train,train,val,train,val,train,train,train,train,train,train,train,train,train,val,train,val,val,train,train,val,val,train,val,val
2xgy,train,val,train,train,train,val,train,val,train,train,val,train,val,train,val,train,train,train,train,train,train,train,train,train,train
2xhe,val,train,train,val,train,train,train,val,train,val,val,val,train,val,train,train,train,train,val,val,train,val,train,train,train
2xpx,train,train,train,train,train,train,val,train,val,val,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train
2xqr,train,val,train,val,train,val,train,train,train,train,train,val,val,train,train,train,val,val,val,train,val,train,train,train,train
2xze,train,train,train,train,train,train,val,train,train,val,val,train,train,val,val,train,train,val,train,train,train,train,train,train,train
2y9m,train,train,train,train,train,train,val,val,train,train,train,train,val,train,val,train,val,val,train,val,train,train,val,val,train
2ybr,train,train,train,train,train,train,train,train,val,val,val,train,train,train,train,train,train,train,val,train,train,train,val,train,train
2z3q,train,val,train,train,train,train,train,val,train,train,train,val,val,train,train,train,val,val,train,train,train,val,train,train,train
2z3r,train,val,train,train,train,train,train,val,train,train,train,val,val,train,train,train,val,val,train,train,train,val,train,train,train
2z58,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
2z8v,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2z8w,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2za4,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
2zvk,val,train,val,val,train,train,train,val,train,val,train,val,train,train,val,train,train,train,train,train,train,train,train,train,val
3ajb,train,train,val,train,val,train,train,val,val,train,train,train,train,val,train,train,train,train,train,train,val,train,val,train,train
3alz,train,val,val,val,train,train,train,train,train,val,train,train,train,train,val,val,train,val,train,train,train,train,train,train,train
3au4,train,train,val,train,val,train,train,val,val,val,train,train,train,train,train,train,val,train,train,train,val,train,train,val,val
3b08,val,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train
3b2u,train,val,train,val,train,train,val,val,train,train,val,val,train,val,train,train,train,train,train,train,val,train,train,train,train
3bdy,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
3bik,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
3bn3,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,val,val,train,train,train,train,train,train
3bs5,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train
3bx7,val,train,val,train,train,train,train,train,val,val,val,val,val,val,train,train,val,train,train,train,train,train,train,train,train
3bzd,train,val,train,val,train,train,train,train,val,train,train,train,val,train,val,val,train,val,val,val,train,train,val,train,train
3c09,train,val,train,val,train,train,val,val,train,train,val,val,train,val,train,train,train,train,train,train,val,train,train,train,train
3c66,train,train,train,train,train,val,val,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,val,val,train
3c9a,train,train,train,train,train,train,train,train,train,train,val,train,val,train,val,train,val,train,train,train,train,train,train,train,train
3ch5,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train
3chw,train,train,val,train,val,train,train,train,train,train,train,train,val,train,val,train,train,train,train,val,val,val,train,train,train
3cqc,train,train,train,train,val,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val
3cqg,train,train,train,train,val,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val
3cx6,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val,val,train,val,train,train
3cx7,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val,val,train,val,train,train
3cx8,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val,val,train,val,train,train
3d1m,val,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train
3d5r,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train
3d5s,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train
3d7u,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
3da7,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
3ddc,train,train,train,train,train,train,val,train,train,val,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train
3di3,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train
3dvm,train,train,train,val,train,train,val,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train,val,train,train
3dvu,train,train,val,val,train,train,train,train,train,train,val,train,train,train,val,val,val,train,train,train,train,train,train,train,train
3dxc,train,train,val,train,train,train,val,train,val,val,train,train,train,train,val,train,train,train,val,train,train,val,val,train,train
3dxd,train,train,val,train,train,train,val,train,val,val,train,train,train,train,val,train,train,train,val,train,train,val,val,train,train
3dxe,train,train,val,train,train,train,val,train,val,val,train,train,train,train,val,train,train,train,val,train,train,val,val,train,train
3e2u,train,train,val,train,train,val,val,train,train,val,train,train,train,train,val,val,train,train,train,val,val,train,train,train,train
3eab,train,train,val,val,train,train,val,val,train,val,train,train,val,val,train,val,train,train,train,val,val,train,train,train,train
3eba,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
3egg,train,train,train,val,train,val,train,train,val,val,train,val,train,train,val,val,train,val,train,train,train,train,val,train,val
3eob,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val
3eqy,val,train,train,train,train,train,val,val,train,val,train,val,val,train,train,train,val,train,train,train,train,train,train,val,train
3etb,val,train,train,train,val,val,train,train,train,val,train,train,train,val,val,train,val,train,train,train,train,train,train,train,train
3fhc,train,train,train,train,val,train,val,train,train,train,train,train,val,val,train,val,train,train,train,train,train,val,val,train,train
3fpu,val,train,val,train,val,val,train,train,train,val,train,val,train,train,train,val,train,train,train,train,val,train,train,train,val
3g3a,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
3g3b,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
3g9v,train,train,val,train,train,train,train,train,train,val,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val
3gb8,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train
3gc3,train,val,train,val,val,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,train,val,val,train,val
3gj3,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train
3gj4,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train
3gj5,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train
3gj6,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train
3gj7,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train
3gj8,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train
3gmw,val,train,train,train,val,train,train,val,val,val,train,val,val,train,train,val,val,train,train,train,val,train,val,train,train
3gni,train,train,train,train,train,train,val,val,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train
3gqi,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
3gty,train,train,val,train,train,train,val,val,train,train,val,train,train,train,train,train,val,val,train,train,train,train,val,val,train
3gxu,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,train,val,val,train,train,train,train,train,val
3h2u,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,val,train,val,train,val,train,train,train,train
3h2v,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,val,train,val,train,val,train,train,train,train
3h8k,train,train,train,val,train,val,train,train,train,train,val,train,val,train,train,train,train,train,train,train,val,train,train,train,train
3hct,train,val,train,train,train,val,train,train,train,train,val,train,val,train,train,train,val,train,train,train,val,train,train,train,val
3hi1,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train
3ho5,val,train,val,val,val,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,val,val,train
3htu,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train
3ia3,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,val,val,train,train,train,val,train,train,train,val
3ixs,train,val,val,val,train,val,val,train,train,val,val,train,train,train,train,train,val,val,train,train,train,train,train,val,train
3jza,train,train,train,train,train,train,val,train,val,train,val,val,train,train,val,train,train,val,val,train,train,val,val,train,train
3k1r,train,val,train,train,train,train,train,val,val,val,train,train,train,val,train,train,train,train,train,train,train,train,train,val,val
3k2m,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
3k6g,train,train,train,train,val,val,val,train,val,val,val,val,val,val,val,train,val,train,train,val,train,val,train,train,train
3k8p,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,val,train,train,train
3k9m,train,train,train,val,train,train,train,train,val,val,val,val,train,val,train,train,train,train,train,val,val,val,train,train,train
3kbh,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,val,val,val,train,train,train,train,train,val,train
3kbt,val,val,train,train,train,train,train,train,train,train,train,val,train,val,train,train,val,train,train,train,train,train,train,train,train
3kj0,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train
3kls,train,train,train,train,train,val,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train
3knb,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
3kuc,val,train,train,train,train,train,train,val,val,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train
3kw5,train,train,train,val,train,train,train,val,train,train,val,val,val,val,val,train,train,train,train,train,val,val,train,train,train
3kz0,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train
3kz1,train,train,train,train,train,train,train,val,train,val,val,train,train,train,train,train,train,val,train,train,val,val,train,train,train
3l9j,val,train,train,train,val,train,val,val,train,train,train,train,train,train,val,train,train,val,val,train,train,train,train,train,train
3laq,train,train,train,train,train,val,train,train,val,val,train,train,train,train,train,train,val,train,val,train,train,val,train,train,val
3lb6,val,train,val,train,train,train,train,train,val,val,train,train,val,val,train,train,val,val,train,val,train,train,train,val,train
3lb8,train,val,train,train,val,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train,val,train,train,val
3lbx,val,val,train,val,val,train,train,train,val,train,train,train,val,train,train,val,val,train,train,train,val,val,train,train,train
3lev,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train
